id,label
2394,Carroll V. Howe
2401,Helen O. Trillhus
2408,Mary Graham
2411,Nadya Grushetsky
2412,Patricia Cole
2414,Phyllis Ockene
2419,Sue Ann Young
2426,Anne de Coursey
2427,Anne Knoll
2430,Barbara J. Mooney
2431,Barbara Murray
2432,Betty Wiles
2434,Carol Holmes
2435,Christie Barter
2437,Dolly Davis
2445,Elizabeth Garfield
2458,Joy Grodzins
2459,Juda Levie
2460,Judith Barker
2470,Virginia Fraley
2476,Dorothy Pierson
2483,Marion Herrod
2484,Mary Lou Blattspieler
2487,Mimi Bowen
2495,Bettsanne Norris
2496,Carol L. Thompson
2498,Christine Burke
2500,Cindy Stevens
2501,Edwina Cahill
2502,Elizabeth P. MacLeod
2503,Grace E. Tuttle
2505,Jo Carner
2512,Marion Villani
2513,Mary W. Bartlett
2515,Nilda Gonzalez
2517,Patricia Harris
2518,Phyllis C. Johnson
2528,Sonya G. Goldman
2529,Sue Ann Gilfillan
2543,Elinor M. Weis
2545,Frances Keogh
2563,Isabel Rigby
2572,Kathryn Frye
2575,Lucy Weston Swift
2578,M. Georgina Johnson
2579,M. Winifred Hanley
2584,Margo R. Frankel
2607,True Compton
2637,Helen Marcy
2643,Janet Marshall
2652,Margo Rene Frankel
2653,Marion Rooney
2663,Ruth Hale
2666,Sarita Hopkins
2669,Virginia A. Meyer
2674,Adeline M. Ramond
2676,Anne Meacham
2678,Barbara Bennett
2680,Betty Shakespeare
2681,Betty Smith
2682,Catherine Blankenship
2691,Gloria B. Beckerman
2693,Jane Hickman
2695,Jo Dunbar
2697,Judith Smith
2698,June Kirk
2701,Margaret Feury
2703,Pamela Stiles
2704,Patricia Datz
2706,Rebecca Hargis
2709,Trudy Murrow
2712,Yvonne Cody
2715,Allison S. Hall
2720,Betsey Bacon
2723,Carroll B. Lusk
2732,Elaine M. Bullis
2734,Elizabeth D. Lyman
2748,Jane L. Blackman
2758,Lindsay Workman
2761,Louise Young
2762,Lynne Rogers
2763,Marie-Louise Dietrichson
2767,Phyllis Gurd Smith
2773,Rose Marie Gregorio
2775,Sylvia Stockdale
2856,Ethel Anne Morgan
2867,Janice V. Perls
2895,Florence Spence
2930,Maxine M. Levy
2938,Barbara W. Pearson
2967,Lucy Fairbanks
2968,M. Elizabeth Tyler
2969,Mary K Sands
2986,Elsa Nessenson
3010,Anne Azgapetian
3015,Bertha Gillespie
3016,Betty Knox
3020,Dorothy Ingalls
3032,Gertrude Prokosch
3044,Josephine Jay
3049,Lois M. Warden
3052,Mary-Catharine Thompson
3067,Velona Pilcher
3111,Lidian Ruth Moore
3132,Violet Robinson
3144,Elizabeth L. Knox
3155,Lillian Collins
3158,Meryl Kligerman
3164,Ruth Harsha
3169,Barbara B. O'Neil
3211,Grace Crawford
3258,Virginia More Roediger
3278,Edna A. Hall
3281,Elinor Hopkinson
3286,Esther Bead
3305,Marion Finley
3317,Roberta Winter
3491,Dorothy Hackett
3546,Helen Peabody
3548,Hermine Summer
3553,Marion Morgan
3560,Doris Humphrey
3561,Eleanor King
3607,Katherine Reid
3628,Amelia Jacobs
3637,Elizabeth Duncan
3638,Ethelyne Hosley
3656,Mariam Gaynor
3728,Rosamond B. Hodges
3783,Gertrude Hall
3815,Virginia Keller
3856,Dorothy Bell
3857,Dorothy Eaton
3869,Kathleen Burnett
3872,Lutie Bancroft
